Level,Semester,GPA,Program,English in specialty,Human rights and the fight against corruption,Fundamentals of management,Calculus,Electronics,Fundamentals of computer science,Optical physics,Scientific and technical report writing,Discrete structures,Linear algebra,Probability and statistics,Programming,E-learning,Mutimedia,Advanced programming,Data structures,Logic design,Data communication,System analysis and design,Signals and systems,Operating systems,Software engineering,Computer network,Database system,Modeling and simulation,File organization and processing,Creative thinking,Computer graphics,Artificial intelligence,Information and computer networks security,Computer architecture and organization,Internet technology,Algorithms,Computer architecture,Advanced database systems,Advanced analysis and design of information systems,Concepts of porgramming languages,Genetic algorithms,Pattern recognition,Digital signals processing,Numerical methods,Advanced software engineering,Communication technology,Wireless and mobile networks,Data storage and retrieval,Advanced analysis and design of information systems,Data warehousing,Geographic information systems,Internet applications,Image processing,Advanced multimedia,Parallel processing,Project-1,Computer vision,Machine learning,Advanced computers networks,Selected Topics in information technology,Database design,Management information systems,Data mining,Selected topics in information systems,Neural networks,Knowledge based systems,Project-2,Compilers,Natural language processing,Embedded systems,Virtual reality,Distributed database,Quality assurance of information systems and programming,Output
1,1,3.12,general,90,75,84,93,74,90,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,3.12,general,90,75,84,93,74,90,80,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,3.29,general,90,75,84,93,74,90,80,pc,pc,pc,pc,pc,pc,pc,79,88,91,93,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,3.4,cs,90,75,84,93,74,90,80,pc,pc,pc,pc,pc,pc,pc,79,88,91,93,89,95,86,99,98,92,93,93,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,3.36,cs,90,75,84,93,74,90,80,pc,pc,pc,pc,pc,pc,pc,79,88,91,93,89,95,86,99,98,92,93,93,81,82,88,87,86,90,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,3.36,cs,90,75,84,93,74,90,80,pc,pc,pc,pc,pc,pc,pc,79,88,91,93,89,95,86,99,98,92,93,93,81,82,88,87,86,90,82,,,,87,80,80,91,90,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,3.37,cs,90,75,84,93,74,90,80,pc,pc,pc,pc,pc,pc,pc,79,88,91,93,89,95,86,99,98,92,93,93,81,82,88,87,86,90,82,,,,87,80,80,91,90,85,,,,,,,,80,97,81,91,97,84,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.53,general,66,73,65,86,74,81,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.53,general,66,73,65,86,74,81,77,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.56,general,66,73,65,86,74,81,77,pc,pc,pc,pc,pc,pc,pc,67,85,70,89,62,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.81,cs,66,73,65,86,74,81,77,pc,pc,pc,pc,pc,pc,pc,67,85,70,89,62,84,76,89,86,87,93,77,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,2.81,cs,66,73,65,86,74,81,77,pc,pc,pc,pc,pc,pc,pc,67,85,70,89,62,84,76,89,86,87,93,77,92,89,87,75,84,72,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,2.81,cs,66,73,65,86,74,81,77,pc,pc,pc,pc,pc,pc,pc,67,85,70,89,62,84,76,89,86,87,93,77,92,89,87,75,84,72,74,,,,71,71,71,94,82,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,2.85,cs,66,73,65,86,74,81,77,pc,pc,pc,pc,pc,pc,pc,67,85,70,89,62,84,76,89,86,87,93,77,92,89,87,75,84,72,74,,,,71,71,71,94,82,86,,,,,,,,78,79,83,96,81,81,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.59,general,91,78,94,79,77,86,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.59,general,91,78,94,79,77,86,93,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.97,general,91,78,94,79,77,86,93,pc,pc,pc,pc,pc,pc,pc,73,90,92,89,76,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,3.19,cs,91,78,94,79,77,86,93,pc,pc,pc,pc,pc,pc,pc,73,90,92,89,76,94,90,95,95,87,88,95,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,3.21,cs,91,78,94,79,77,86,93,pc,pc,pc,pc,pc,pc,pc,73,90,92,89,76,94,90,95,95,87,88,95,87,90,89,83,79,87,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,3.24,cs,91,78,94,79,77,86,93,pc,pc,pc,pc,pc,pc,pc,73,90,92,89,76,94,90,95,95,87,88,95,87,90,89,83,79,87,93,,,,86,87,82,95,81,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,2.33,cs,91,78,94,79,77,86,93,pc,pc,pc,pc,pc,pc,pc,73,90,92,89,76,94,90,95,95,87,88,95,87,90,89,83,79,87,93,,,,86,87,82,95,81,93,,,,,,,,95,88,85,96,98,97,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.05,general,90,65,61,78,70,78,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.19,general,90,65,61,78,70,78,82,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.31,general,90,65,61,78,70,78,82,pc,pc,pc,pc,pc,pc,pc,61,74,71,80,61,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.56,cs,90,65,61,78,70,78,82,pc,pc,pc,pc,pc,pc,pc,61,74,71,80,61,93,77,96,89,73,83,89,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,2.56,cs,90,65,61,78,70,78,82,pc,pc,pc,pc,pc,pc,pc,61,74,71,80,61,93,77,96,89,73,83,89,87,81,80,71,68,76,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,2.54,cs,90,65,61,78,70,78,82,pc,pc,pc,pc,pc,pc,pc,61,74,71,80,61,93,77,96,89,73,83,89,87,81,80,71,68,76,74,,,,69,64,67,83,73,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,2.58,cs,90,65,61,78,70,78,82,pc,pc,pc,pc,pc,pc,pc,61,74,71,80,61,93,77,96,89,73,83,89,87,81,80,71,68,76,74,,,,69,64,67,83,73,93,,,,,,,,74,82,68,90,83,83,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,3.04,general,89,84,73,85,86,91,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,3.04,general,89,84,73,85,86,91,77,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,3.2,general,89,84,73,85,86,91,77,pc,pc,pc,pc,pc,pc,pc,90,87,79,93,78,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,3.33,cs,89,84,73,85,86,91,77,pc,pc,pc,pc,pc,pc,pc,90,87,79,93,78,95,83,95,93,90,90,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,3.31,cs,89,84,73,85,86,91,77,pc,pc,pc,pc,pc,pc,pc,90,87,79,93,78,95,83,95,93,90,90,85,92,88,87,87,82,91,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,3.35,cs,89,84,73,85,86,91,77,pc,pc,pc,pc,pc,pc,pc,90,87,79,93,78,95,83,95,93,90,90,85,92,88,87,87,82,91,84,,,,91,84,87,96,84,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,3.37,cs,89,84,73,85,86,91,77,pc,pc,pc,pc,pc,pc,pc,90,87,79,93,78,95,83,95,93,90,90,85,92,88,87,87,82,91,84,,,,91,84,87,96,84,95,,,,,,,,79,94,83,95,100,85,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.87,general,86,66,67,87,86,75,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.87,general,86,66,67,87,86,75,86,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,3.02,general,86,66,67,87,86,75,86,pc,pc,pc,pc,pc,pc,pc,80,80,86,88,75,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,3.2,cs,86,66,67,87,86,75,86,pc,pc,pc,pc,pc,pc,pc,80,80,86,88,75,93,88,97,95,98,79,91,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,3.22,cs,86,66,67,87,86,75,86,pc,pc,pc,pc,pc,pc,pc,80,80,86,88,75,93,88,97,95,98,79,91,85,93,88,81,80,92,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,3.26,cs,86,66,67,87,86,75,86,pc,pc,pc,pc,pc,pc,pc,80,80,86,88,75,93,88,97,95,98,79,91,85,93,88,81,80,92,83,,,,90,86,85,89,85,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,3.3,cs,86,66,67,87,86,75,86,pc,pc,pc,pc,pc,pc,pc,80,80,86,88,75,93,88,97,95,98,79,91,85,93,88,81,80,92,83,,,,90,86,85,89,85,91,,,,,,,,88,94,72,96,96,94,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.56,general,85,71,69,82,61,89,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.56,general,85,71,69,82,61,89,78,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.14,general,85,71,69,82,61,89,78,pc,pc,pc,pc,pc,pc,pc,57,66,51,70,76,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.35,cs,85,71,69,82,61,89,78,pc,pc,pc,pc,pc,pc,pc,73,66,60,70,76,87,81,89,76,78,81,75,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,2.39,cs,85,71,69,82,61,89,78,pc,pc,pc,pc,pc,pc,pc,73,66,60,70,76,87,81,89,76,78,81,75,76,79,71,83,74,71,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,2.43,cs,85,71,69,82,61,89,78,pc,pc,pc,pc,pc,pc,pc,73,66,60,70,76,87,81,89,76,78,81,75,76,79,71,83,74,71,76,,,,74,77,60,86,72,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,2.51,cs,85,71,69,82,61,89,78,pc,pc,pc,pc,pc,pc,pc,73,66,60,70,76,87,81,89,76,78,81,75,76,79,71,83,74,71,76,,,,74,77,60,86,72,88,,,,,,,,60,81,75,91,87,86,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,1.91,general,83,75,70,69,66,65,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.02,general,83,75,70,69,66,65,77,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design ','Data communication
','System analysis and design','Signals and systems']"
2,1,2.53,general,83,75,70,69,66,65,77,pc,pc,pc,pc,pc,pc,pc,75,84,90,90,67,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Software engineering
','Computer network',' Database system','Modeling and simulation','File organization and processing
','Creative thinking ']"
2,2,2.93,cs,83,75,70,69,66,65,77,pc,pc,pc,pc,pc,pc,pc,75,84,90,90,67,90,91,99,93,96,93,99,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer graphics ','Artificial intelligence ','Information and computer networks security
','Computer architecture and organization ','Internet technology ','Algorithms']"
3,1,3,cs,83,75,70,69,66,65,77,pc,pc,pc,pc,pc,pc,pc,75,84,90,90,67,90,91,99,93,96,93,99,86,87,94,85,73,90,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concepts of porgramming languages ','Genetic algorithms','Pattern recognition','Digital signals processing
','Numerical methods','Advanced software engineering']"
3,2,2.99,cs,83,75,70,69,66,65,77,pc,pc,pc,pc,pc,pc,pc,75,84,90,90,67,90,91,99,93,96,93,99,86,87,94,85,73,90,84,,,,85,86,78,79,72,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mage processing ','Advanced multimedia
','Parallel processing ','Project-1','Computer vision ','Machine learning']"
4,1,3,cs,83,75,70,69,66,65,77,pc,pc,pc,pc,pc,pc,pc,75,84,90,90,67,90,91,99,93,96,93,99,86,87,94,85,73,90,84,,,,85,86,78,79,72,86,,,,,,,,78,87,68,89,85,97,,,,,,,,,,,,,,,,"['Neural networks','Knowledge based systems
','Project-2 ','Compilers','Natural language processing']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,1.61,general,53,61,66,80,61,77,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,1.84,general,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design','Data communication
']"
2,1,1.67,general,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,59,66,60,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Computer network','Database system ','Modeling and simulation']"
2,2,2.21,it,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,91,66,60,63,68,,86,,84,88,79,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer architecture
','Computer graphics ','Artificial intelligence','Algorithms','Internet technology','Signals and systems']"
3,1,2.14,it,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,91,66,60,63,68,70,86,,84,88,79,85,84,76,71,,,52,70,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Communication technology
','Digital signals processing
','Pattern recognition','Wireless and mobile networks','Numerical methods','Advanced software engineering']"
3,2,2.21,it,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,91,66,60,63,68,70,86,,84,88,79,85,84,76,71,,,52,70,65,,,,,60,75,72,86,66,81,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced computers networks
','Advanced multimedia
','Image processing','Project-1','Computer vision ','Selected Topics in information technology']"
4,1,2.27,it,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,91,66,60,63,68,70,86,,84,88,79,85,84,76,71,,,52,70,65,,,,,60,75,72,86,66,81,,,,,,67,76,,94,72,,67,75,,,,,,,,,,,,,,"['Neural networks','Knowledge based system','Project-2','Embedded systems','Virtual reality','Software engineering
']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.79,general,85,79,70,92,72,90,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.79,general,85,79,70,92,72,90,67,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design','Data communication
','Signals and System','System Analysis and design']"
2,1,3.01,general,85,79,70,92,72,90,67,pc,pc,pc,pc,pc,pc,pc,73,81,87,96,79,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems','Computer network','Database system ','Modeling and simulation','Software Engineering','File Organisation and Processing','Creative Thinking']"
2,2,3.18,it,85,79,70,92,72,90,67,pc,pc,pc,pc,pc,pc,pc,73,81,87,96,79,95,83,99,94,96,85,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer architecture
','Computer graphics ','Artificial intelligence','Algorithms','Internet technology','Information and Computer Networks Security']"
3,1,3.24,it,85,79,70,92,72,90,67,pc,pc,pc,pc,pc,pc,pc,73,81,87,96,79,95,83,99,94,96,85,86,87,85,94,95,,93,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Communication technology
','Digital signals processing
','Pattern recognition','Wireless and mobile networks','Numerical methods','Advanced software engineering']"
3,2,3.28,it,85,79,70,92,72,90,67,pc,pc,pc,pc,pc,pc,pc,73,81,87,96,79,95,83,99,94,96,85,86,87,85,94,95,,93,80,80,,,,,75,91,82,93,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced computers networks
','Advanced multimedia
','Image processing','Project-1','Computer vision ','Selected Topics in information technology']"
4,1,3.32,it,85,79,70,92,72,90,67,pc,pc,pc,pc,pc,pc,pc,73,81,87,96,79,95,83,99,94,96,85,86,87,85,94,95,,93,80,80,,,,,75,91,82,93,92,90,,,,,,79,93,,90,95,,82,95,,,,,,,,,,,,,,"['Neural networks','Knowledge based system','Project-2','Embedded systems','Virtual reality']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.35,general,66,69,75,72,85,64,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,2.35,general,66,69,75,72,85,64,66,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design','Data communication
','Signals and System','System Analysis and design']"
2,1,2.54,general,66,69,75,72,85,64,66,pc,pc,pc,pc,pc,pc,pc,75,76,72,84,77,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Computer network','Database system ','Modeling and simulation','Software Engineering','File Organisation and Processing','Creative Thinking']"
2,2,2.67,it,66,69,75,72,85,64,66,pc,pc,pc,pc,pc,pc,pc,75,76,72,84,77,84,73,84,86,88,79,75,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer architecture
','Computer graphics ','Artificial intelligence','Algorithms','Internet technology','Information and Computer Networks Security']"
